date,state,positive,negative,hospitalized,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,death
20200818,HI,5215.0,158984.0,288.0,25.0,,1868.0,C,40.0
20200817,HI,5042.0,156906.0,283.0,25.0,,1841.0,C,40.0
20200815,HI,4543.0,151723.0,277.0,22.0,,1756.0,C,40.0
20200817,DE,16536.0,196102.0,,,,8713.0,A+,593.0
20200818,DE,16593.0,197252.0,,,,8749.0,A+,593.0
20200815,DE,16396.0,192365.0,,,,8649.0,A+,593.0
20200816,DE,16451.0,193934.0,,,,8671.0,A+,593.0
20200818,FL,579932.0,3699108.0,35112.0,,,,B,9893.0
20200816,FL,573416.0,3659212.0,34341.0,,,,A,9587.0
20200815,FL,569637.0,3633088.0,34074.0,,,,A,9480.0
20200817,FL,576094.0,3676782.0,34607.0,,,,B,9674.0
20200818,WA,67721.0,950107.0,6296.0,39.0,,,B,1785.0
20200818,SC,107672.0,770809.0,7146.0,173.0,,54194.0,A+,2343.0
20200818,SD,10443.0,119570.0,927.0,,,9126.0,A,154.0
20200816,SD,10274.0,118500.0,916.0,,,8939.0,A,153.0
20200818,WI,71424.0,1075397.0,5380.0,,,57382.0,A+,1059.0
20200816,WI,70246.0,1060533.0,5304.0,,,55982.0,A+,1046.0
20200816,MA,123200.0,1326768.0,12173.0,28.0,,100486.0,A+,8829.0
20200817,MA,123413.0,1341501.0,12178.0,22.0,,100486.0,A+,8833.0
20200815,MA,122897.0,1311604.0,12170.0,27.0,,100486.0,A+,8818.0
20200818,MD,101235.0,1066070.0,13698.0,,,6008.0,A,3650.0
20200815,MD,99693.0,1027959.0,13556.0,,,5995.0,A,3636.0
20200817,MD,100715.0,1056897.0,13658.0,,,6008.0,A,3641.0
20200816,MD,100212.0,1042198.0,13614.0,,,6004.0,A,3639.0
20200815,ME,4144.0,203210.0,399.0,1.0,,3616.0,A+,127.0
20200817,ME,4197.0,208357.0,399.0,1.0,,3638.0,A+,127.0
20200817,OH,109062.0,1739954.0,12319.0,175.0,,87764.0,A+,3832.0
20200816,OH,108287.0,1721358.0,12236.0,161.0,,86926.0,A+,3826.0
20200817,GA,238861.0,1788556.0,22133.0,,,,A,4727.0
20200818,GA,241677.0,1818642.0,22429.0,,,,A,4794.0
20200817,ID,27660.0,196827.0,1110.0,,,10883.0,A,269.0
20200818,MI,103403.0,2259122.0,,89.0,,67778.0,A+,6608.0
20200816,MI,102259.0,2218791.0,,87.0,,67778.0,A+,6592.0
20200818,OK,49326.0,725674.0,4115.0,,,41370.0,A+,682.0
20200817,OK,48711.0,706619.0,4021.0,,,40531.0,A+,665.0
20200817,CA,628031.0,9305749.0,,,,,B,11242.0
20200817,WV,8632.0,352207.0,,19.0,,6531.0,B,160.0
20200817,UT,46894.0,554901.0,2782.0,,286.0,38132.0,A+,364.0
20200818,MN,66061.0,937245.0,5932.0,,,59568.0,A,1767.0
20200818,MO,69417.0,798064.0,,116.0,,,A,1402.0
20200817,MO,68623.0,789994.0,,119.0,,,A,1396.0
20200817,MO,68623.0,789994.0,,119.0,,,A,1396.0
20200817,MO,68623.0,789994.0,,119.0,,,A,1396.0
20200817,MO,68623.0,789994.0,,119.0,,,A,1396.0
20200817,MO,68623.0,789994.0,,119.0,,,A,1396.0
20200817,MO,68623.0,789994.0,,119.0,,,A,1396.0
20200817,MO,68623.0,789994.0,,119.0,,,A,1396.0
20200816,MO,67475.0,778143.0,,121.0,,,A,1367.0
20200817,MO,68623.0,789994.0,,119.0,,,A,1396.0
20200817,WY,3331.0,57567.0,195.0,,,2699.0,B,33.0
20200818,OR,23676.0,472662.0,1929.0,20.0,,4468.0,A+,397.0
20200817,OR,23451.0,467766.0,1913.0,19.0,,4419.0,A+,388.0
20200817,OR,23451.0,467766.0,1913.0,19.0,,4419.0,A+,388.0
20200817,OR,23451.0,467766.0,1913.0,19.0,,4419.0,A+,388.0
20200817,OR,23451.0,467766.0,1913.0,19.0,,4419.0,A+,388.0
20200817,OR,23451.0,467766.0,1913.0,19.0,,4419.0,A+,388.0
20200817,OR,23451.0,467766.0,1913.0,19.0,,4419.0,A+,388.0
20200817,OR,23451.0,467766.0,1913.0,19.0,,4419.0,A+,388.0
20200817,OR,23451.0,467766.0,1913.0,19.0,,4419.0,A+,388.0
20200817,OR,23451.0,467766.0,1913.0,19.0,,4419.0,A+,388.0
20200818,IL,210926.0,3229678.0,,128.0,,,A,7993.0
20200817,MP,53.0,12867.0,4.0,,,29.0,D,2.0
20200818,IN,81847.0,846767.0,10037.0,94.0,,61518.0,A+,3165.0
20200816,IN,80415.0,826436.0,9935.0,92.0,,59801.0,A+,3133.0
20200815,IN,79676.0,817939.0,9872.0,88.0,,59488.0,A+,3128.0
20200817,IN,81006.0,833627.0,9973.0,95.0,,60677.0,A+,3135.0
20200817,MT,5792.0,198933.0,330.0,,,4162.0,C,82.0
20200818,KS,35167.0,319095.0,2034.0,24.0,200.0,1409.0,A+,405.0
20200817,KS,35167.0,319095.0,2034.0,24.0,200.0,1409.0,A+,405.0
20200817,KS,35167.0,319095.0,2034.0,24.0,200.0,1409.0,A+,405.0
20200817,KS,35167.0,319095.0,2034.0,24.0,200.0,1409.0,A+,405.0
20200817,KS,35167.0,319095.0,2034.0,24.0,200.0,1409.0,A+,405.0
20200817,KS,35167.0,319095.0,2034.0,24.0,200.0,1409.0,A+,405.0
20200817,KS,35167.0,319095.0,2034.0,24.0,200.0,1409.0,A+,405.0
20200817,KS,35167.0,319095.0,2034.0,24.0,200.0,1409.0,A+,405.0
20200817,KS,35167.0,319095.0,2034.0,24.0,200.0,1409.0,A+,405.0
20200817,AK,5110.0,300538.0,,4.0,,1432.0,A,28.0
20200818,AK,5177.0,304832.0,,7.0,,1468.0,A,29.0
20200817,AL,109004.0,743919.0,12958.0,,720.0,41523.0,B,1925.0
20200815,AL,107580.0,729437.0,12607.0,,719.0,41523.0,B,1896.0
20200816,AL,108433.0,737991.0,12607.0,,720.0,41523.0,B,1898.0
20200817,CO,53176.0,581397.0,6735.0,,,5695.0,A,1768.0
20200818,KY,40299.0,686601.0,4252.0,,,9233.0,B,830.0
20200818,GU,577.0,28649.0,,,,353.0,A,5.0
20200816,GU,516.0,27257.0,,,,345.0,A,5.0
20200817,AR,53077.0,569385.0,3621.0,120.0,472.0,46133.0,A,603.0
20200815,AR,51992.0,536268.0,3562.0,108.0,460.0,44905.0,A,600.0
20200817,PA,124844.0,1342475.0,,95.0,,98626.0,A+,7468.0
20200817,CT,51267.0,930701.0,11015.0,,,8809.0,B,4456.0
20200817,AS,0.0,1514.0,,,,,C,0.0
20200815,AS,0.0,1514.0,,,,,C,0.0
20200816,AS,0.0,1514.0,,,,,C,0.0
20200817,VI,760.0,11658.0,,,,525.0,C,9.0
20200816,VI,741.0,11430.0,,,,523.0,C,9.0
20200818,NC,146779.0,1804341.0,,,,127749.0,A+,2396.0
20200815,LA,136737.0,1500275.0,,197.0,,103512.0,A,4430.0
20200816,LA,137918.0,1520169.0,,189.0,,103512.0,A,4507.0
20200817,LA,138485.0,1535804.0,,184.0,,103512.0,A,4526.0
20200817,ND,8647.0,171772.0,461.0,,,7343.0,C,105.0
20200816,ND,8587.0,171213.0,459.0,,,7249.0,C,105.0
20200818,AZ,194920.0,909077.0,20878.0,260.0,,28027.0,A+,4529.0
20200816,AZ,193537.0,898437.0,20755.0,267.0,,27582.0,A+,4506.0
20200818,NH,7017.0,179890.0,712.0,,,6333.0,B,424.0
20200817,TN,134744.0,1736364.0,5881.0,173.0,,94812.0,A+,1387.0
20200818,TN,135778.0,1758594.0,5981.0,183.0,,96896.0,A+,1426.0
20200818,NJ,188098.0,2344647.0,22259.0,41.0,,33403.0,A+,15925.0
20200817,NJ,187767.0,2323303.0,22218.0,38.0,,33381.0,A+,15916.0
20200817,DC,13273.0,232382.0,,15.0,,10521.0,A+,597.0
20200816,DC,13220.0,229632.0,,9.0,,10493.0,A+,597.0
20200818,DC,13325.0,236153.0,,14.0,,10595.0,A+,599.0
20200817,NM,23408.0,647165.0,2965.0,,,10481.0,B,714.0
